label_name,label_readable,model_name,model_readable,probe,probe_readable,corr_probe_vs_p_hat
y_dd_h20_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 20 days",rf_full,Random Forest (Baseline + Ricci curvature),prec_diff_tmix_proxy,Precision graph: Diff Tmix Proxy,0.35787479613392176
y_dd_h20_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 20 days",rf_full,Random Forest (Baseline + Ricci curvature),prec_ct_median,Precision graph: Ct Median,0.2165743526376351
y_dd_h20_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 20 days",rf_full,Random Forest (Baseline + Ricci curvature),prec_mfpt_median,Precision graph: Mean First Passage Time Median,0.16537354395619275
y_dd_h20_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 20 days",rf_full,Random Forest (Baseline + Ricci curvature),prec_ct_q90,Precision graph: Ct Q90,0.0993322517524693
y_dd_h20_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 20 days",rf_full,Random Forest (Baseline + Ricci curvature),prec_mfpt_q90,Precision graph: Mean First Passage Time Q90,0.06941423976297138
y_dd_h20_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 20 days",rf_full,Random Forest (Baseline + Ricci curvature),prec_mfpt_mean,Precision graph: Mean First Passage Time Mean,0.014194298543162742
y_dd_h20_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 20 days",rf_full,Random Forest (Baseline + Ricci curvature),prec_ct_mean,Precision graph: Ct Mean,0.014194298543162738
y_dd_h20_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 20 days",rf_full,Random Forest (Baseline + Ricci curvature),prec_diff_pi_min,Precision graph: Diff Pi Min,-0.05336639845573251
y_dd_h20_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 20 days",rf_full,Random Forest (Baseline + Ricci curvature),prec_ct_q10,Precision graph: Ct Q10,-0.10650474543625361
y_dd_h20_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 20 days",rf_full,Random Forest (Baseline + Ricci curvature),prec_mfpt_q10,Precision graph: Mean First Passage Time Q10,-0.1307313222063015
y_dd_h20_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 20 days",rf_full,Random Forest (Baseline + Ricci curvature),corr_mfpt_q10,Correlation graph: Mean First Passage Time Q10,-0.36710314002600947
y_dd_h20_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 20 days",rf_full,Random Forest (Baseline + Ricci curvature),prec_diff_gamma,Precision graph: Diff Gamma,-0.38291115601720116
y_dd_h20_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 20 days",rf_full,Random Forest (Baseline + Ricci curvature),corr_diff_gamma,Correlation graph: Diff Gamma,-0.4646177417702531
y_dd_h20_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 20 days",rf_full,Random Forest (Baseline + Ricci curvature),corr_ct_q10,Correlation graph: Ct Q10,-0.5578652703963466
y_dd_h20_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 20 days",logit_baseline,Logistic Regression (Baseline features),corr_diff_gamma,Correlation graph: Diff Gamma,0.4850855529678403
y_dd_h20_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 20 days",logit_baseline,Logistic Regression (Baseline features),corr_mfpt_q10,Correlation graph: Mean First Passage Time Q10,0.3790787187003481
y_dd_h20_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 20 days",logit_baseline,Logistic Regression (Baseline features),corr_ct_q10,Correlation graph: Ct Q10,0.34343388256341856
y_dd_h20_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 20 days",logit_baseline,Logistic Regression (Baseline features),prec_diff_gamma,Precision graph: Diff Gamma,0.15399906656557039
y_dd_h20_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 20 days",logit_baseline,Logistic Regression (Baseline features),corr_diff_pi_min,Correlation graph: Diff Pi Min,0.016827366564312687
y_dd_h20_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 20 days",logit_baseline,Logistic Regression (Baseline features),prec_mfpt_q10,Precision graph: Mean First Passage Time Q10,0.004572071692971928
y_dd_h20_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 20 days",logit_baseline,Logistic Regression (Baseline features),prec_ct_q90,Precision graph: Ct Q90,-0.02957662829634295
y_dd_h20_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 20 days",logit_baseline,Logistic Regression (Baseline features),prec_mfpt_mean,Precision graph: Mean First Passage Time Mean,-0.030745878278324642
y_dd_h20_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 20 days",logit_baseline,Logistic Regression (Baseline features),prec_ct_mean,Precision graph: Ct Mean,-0.03074587827832465
y_dd_h20_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 20 days",logit_baseline,Logistic Regression (Baseline features),prec_mfpt_q90,Precision graph: Mean First Passage Time Q90,-0.036056476885915185
y_dd_h20_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 20 days",logit_baseline,Logistic Regression (Baseline features),prec_ct_q10,Precision graph: Ct Q10,-0.05082003481756742
y_dd_h20_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 20 days",logit_baseline,Logistic Regression (Baseline features),prec_diff_pi_min,Precision graph: Diff Pi Min,-0.0672981077192557
y_dd_h20_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 20 days",logit_baseline,Logistic Regression (Baseline features),prec_ct_median,Precision graph: Ct Median,-0.09513886343142923
